path,age_bin,gender,ethnicity,split
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\62598.jpg,0,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\4238.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\56415.jpg,0,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\75791.jpg,0,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\75034.jpg,0,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\53184.jpg,1,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\12252.jpg,0,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\74062.jpg,0,1,6,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\79974.jpg,1,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\71652.jpg,4,0,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\15099.jpg,2,0,1,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\34242.jpg,0,1,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\67384.jpg,0,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\38241.jpg,1,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\26122.jpg,0,0,4,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\43971.jpg,2,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\19857.jpg,3,0,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\79021.jpg,0,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\21738.jpg,0,1,5,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\67179.jpg,0,1,0,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\3435.jpg,2,0,2,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\26136.jpg,2,0,3,train
C:\Users\ilyes\Downloads\stylegan2_cond\FilteredFaces\7905.jpg,0,0,0,train
